no;investment;income;consumption;qtr;linvestment;dlinvestment;lincome;dlincome;lconsumption;dlconsumption
1;180;451;415;1960q1;5.1929569;NA;6.1114674;NA;6.0282784;NA
2;179;465;421;1960q2;5.187386;-0.005570889;6.1420374;0.03057003;6.0426331;0.014354706
3;185;485;434;1960q3;5.220356;0.032969952;6.1841488;0.042111397;6.0730443;0.030411243
4;192;493;448;1960q4;5.2574954;0.037139416;6.2005091;0.016360283;6.1047931;0.031748772
5;211;509;459;1961q1;5.3518581;0.094362736;6.2324481;0.03193903;6.1290503;0.024257183
6;202;520;458;1961q2;5.3082676;-0.043590546;6.253829;0.021380901;6.1268692;-0.002181053
7;207;521;479;1961q3;5.3327188;0.024451256;6.2557502;0.001921177;6.1717005;0.044831276
8;214;540;487;1961q4;5.3659759;0.033257008;6.2915692;0.035819054;6.1882639;0.016563416
9;231;548;497;1962q1;5.4424176;0.076441765;6.3062754;0.014706135;6.20859;0.020326138
10;229;558;510;1962q2;5.433722;-0.008695602;6.3243589;0.018083572;6.2344108;0.025820732
11;234;574;516;1962q3;5.4553213;0.021599293;6.3526292;0.028270245;6.2461066;0.011695862
12;237;583;525;1962q4;5.46806;0.012738705;6.368187;0.015557766;6.2633982;0.017291546
13;206;591;529;1963q1;5.3278761;-0.14018393;6.3818159;0.01362896;6.2709885;0.007590294
14;250;599;538;1963q2;5.521461;0.19358492;6.3952618;0.013445854;6.2878585;0.016870022
15;259;610;546;1963q3;5.556828;0.035367012;6.4134588;0.01819706;6.302619;0.014760494
16;263;627;555;1963q4;5.572154;0.015326023;6.4409466;0.027487755;6.3189683;0.016349316
17;264;642;574;1964q1;5.5759492;0.003795147;6.4645882;0.023641586;6.3526292;0.033660889
18;280;653;574;1964q2;5.6347895;0.058840275;6.4815769;0.016988754;6.3526292;0
19;282;660;586;1964q3;5.6419072;0.007117748;6.49224;0.010663033;6.3733196;0.020690441
20;292;694;602;1964q4;5.676754;0.034846783;6.5424719;0.050231934;6.4002576;0.026937962
21;286;709;617;1965q1;5.655992;-0.020761967;6.5638556;0.021383762;6.4248691;0.024611473
22;302;734;639;1965q2;5.7104268;0.054434776;6.5985088;0.034653187;6.4599047;0.03503561
23;304;751;653;1965q3;5.7170277;0.006600857;6.6214056;0.022896767;6.4815769;0.021672249
24;307;763;668;1965q4;5.7268476;0.009819984;6.6372581;0.015852451;6.5042882;0.022711277
25;317;766;679;1966q1;5.7589016;0.032053947;6.6411819;0.003923893;6.5206213;0.016333103
26;314;779;686;1966q2;5.749393;-0.00950861;6.658011;0.016829014;6.5308776;0.01025629
27;306;808;697;1966q3;5.7235851;-0.025807858;6.694562;0.036550999;6.5467854;0.015907764
28;304;785;688;1966q4;5.7170277;-0.006557465;6.6656837;-0.028878212;6.5337887;-0.012996674
29;292;794;704;1967q1;5.676754;-0.040273666;6.6770835;0.011399746;6.5567784;0.02298975
30;275;799;699;1967q2;5.6167712;-0.059982777;6.6833611;0.006277561;6.5496507;-0.007127762
31;273;799;709;1967q3;5.6094718;-0.007299423;6.6833611;0;6.5638556;0.014204979
32;301;812;715;1967q4;5.7071104;0.097638607;6.6995006;0.016139507;6.5722823;0.008426666
33;280;837;724;1968q1;5.6347895;-0.072320938;6.7298241;0.030323505;6.5847912;0.012508869
34;289;853;746;1968q2;5.6664267;0.031637192;6.7487597;0.01893568;6.6147256;0.029934406
35;303;876;758;1968q3;5.7137327;0.047306061;6.7753663;0.02660656;6.6306834;0.015957832
36;322;897;779;1968q4;5.7745514;0.060818672;6.7990561;0.023689747;6.658011;0.027327538
37;315;922;798;1969q1;5.7525725;-0.021978855;6.8265452;0.027489185;6.6821084;0.024097443
38;339;949;816;1969q2;5.8260002;0.073427677;6.8554087;0.02886343;6.7044144;0.022305965
39;364;979;837;1969q3;5.8971539;0.071153641;6.8865318;0.031123161;6.7298241;0.025409698
40;371;988;858;1969q4;5.9162021;0.019048214;6.8956828;0.009150982;6.7546039;0.024779797
41;375;1025;881;1970q1;5.9269261;0.010724068;6.9324479;0.036765099;6.7810578;0.026453972
42;432;1063;905;1970q2;6.0684257;0.14149952;6.9688506;0.036402702;6.8079348;0.026876926
43;453;1104;934;1970q3;6.1158919;0.047466278;7.0066953;0.037844658;6.8394766;0.031541824
44;460;1131;968;1970q4;6.1312265;0.015334606;7.0308576;0.024162292;6.8752322;0.035755634
45;475;1137;983;1971q1;6.1633148;0.03208828;7.0361485;0.005290985;6.8906093;0.015377045
46;496;1178;1013;1971q2;6.2065759;0.043261051;7.0715733;0.035424709;6.9206715;0.030062199
47;494;1211;1034;1971q3;6.2025356;-0.004040241;7.0992017;0.027628422;6.9411902;0.02051878
48;498;1256;1064;1971q4;6.2105999;0.00806427;7.1356874;0.036485672;6.9697905;0.028600216
49;526;1290;1101;1972q1;6.2653012;0.054701328;7.1623974;0.026710033;7.003974;0.034183502
50;519;1314;1102;1972q2;6.251904;-0.013397217;7.1808314;0.018434048;7.0048819;0.000907898
51;516;1346;1145;1972q3;6.2461066;-0.005797386;7.2048926;0.024061203;7.04316;0.038278103
52;531;1385;1173;1972q4;6.2747622;0.028655529;7.2334552;0.028562546;7.0673199;0.024159908
53;573;1416;1216;1973q1;6.3508859;0.076123714;7.2555914;0.022136211;7.103322;0.036002159
54;551;1436;1229;1973q2;6.3117347;-0.039151192;7.2696166;0.014025211;7.113956;0.010633945
55;538;1462;1242;1973q3;6.2878585;-0.02387619;7.2875605;0.017943859;7.1244783;0.010522366
56;532;1493;1267;1973q4;6.2766433;-0.01121521;7.3085427;0.020982265;7.1444073;0.019928932
57;558;1516;1295;1974q1;6.3243589;0.047715664;7.3238306;0.015287876;7.166266;0.021858692
58;524;1557;1317;1974q2;6.2614918;-0.062867165;7.3505163;0.026685715;7.1831117;0.016845703
59;525;1613;1355;1974q3;6.2633982;0.001906395;7.3858509;0.035334587;7.2115569;0.028445244
60;519;1642;1371;1974q4;6.251904;-0.01149416;7.4036703;0.017819405;7.2232957;0.011738777
61;526;1690;1402;1975q1;6.2653012;0.013397217;7.4324837;0.028813362;7.2456551;0.022359371
62;510;1759;1452;1975q2;6.2344108;-0.030890465;7.4725008;0.040017128;7.2806973;0.035042286
63;519;1756;1485;1975q3;6.251904;0.017493248;7.4707937;-0.001707077;7.3031702;0.022472858
64;538;1780;1516;1975q4;6.2878585;0.035954475;7.4843688;0.013575077;7.3238306;0.0206604
65;549;1807;1549;1976q1;6.3080983;0.02023983;7.4994235;0.015054703;7.345365;0.021534443
66;570;1831;1567;1976q2;6.3456364;0.037538052;7.5126176;0.013194084;7.3569183;0.011553288
67;559;1873;1588;1976q3;6.3261495;-0.019486904;7.5352969;0.022679329;7.3702307;0.01331234
68;584;1897;1631;1976q4;6.3699012;0.043751717;7.5480289;0.012732029;7.3969488;0.02671814
69;611;1910;1650;1977q1;6.4150968;0.04519558;7.5548587;0.006829739;7.4085307;0.011581898
70;597;1943;1685;1977q2;6.3919172;-0.023179531;7.5719886;0.017129898;7.4295206;0.020989895
71;603;1976;1722;1977q3;6.401917;0.009999752;7.58883;0.016841412;7.4512415;0.021720886
72;619;2018;1752;1977q4;6.4281054;0.026188374;7.6098623;0.021032333;7.4685135;0.017271996
73;635;2040;1774;1978q1;6.4536252;0.025519848;7.6207051;0.0108428;7.4809923;0.012478828
74;658;2070;1807;1978q2;6.4892049;0.035579681;7.635304;0.014598846;7.4994235;0.018431187
